LOCO_TYPE,LOCO_NUMBER,YEAR,Availability_Days,Distance_Travelled,Distance_per_day,Total_Failures,Reliability,Failure_Rate,Age_of_Locomotive,Usage_Intensity,Maintenance_Frequency,Fuel_Efficiency,Operating_Hours,Fleet_Type,Efficiency_Score,Maintenance_Score,Risk_Score,Reliability_Category,Age_Category
2,35374,2024,119,37790,317.56,10,47.22,0.084,32,1.587815,1.9,2.35,2530.82,Hired,14.93,1.43,4.268,Low,Old
2,37082,2023,268,54355,202.82,5,76.29,0.0187,3,1.014086,1.6,2.71,4865.59,Hired,11.17,19.07,0.0569,Medium,New
1,2108,2017,309,38809,125.6,6,60.91,0.0194,3,0.627977,1.48,3.33,5898.48,NRZ,6.58,15.23,0.0365,Medium,New
2,36469,2017,196,24962,127.36,7,66.8,0.0357,13,0.636786,1.74,1.5,4550.38,Hired,5.49,4.77,0.2955,Medium,Mature
2,35908,2017,181,40614,224.39,8,44.53,0.0442,21,1.121934,0.9,1.76,3570.8,Hired,11.37,2.02,1.0414,Low,Old
1,1031,2018,291,63139,216.97,8,50.47,0.0275,8,1.084863,1.75,3.46,5663.55,NRZ,11.15,5.61,0.2387,Low,Young
2,35438,2024,233,45399,194.85,6,65.37,0.0258,7,0.974227,1.18,2.14,4457.74,Hired,10.18,8.17,0.1759,Medium,Young
1,1007,2023,135,27310,202.3,5,45.99,0.037,30,1.011481,0.54,2.15,2475.46,NRZ,11.03,1.48,1.1227,Low,Old
2,35751,2023,118,23089,195.67,4,51.0,0.0339,29,0.978347,1.41,2.27,2607.66,Hired,8.85,1.7,0.9618,Low,Old
2,36604,2019,171,23262,136.04,3,69.09,0.0175,22,0.680175,1.85,2.86,3240.08,Hired,7.18,3.0,0.2619,Medium,Old
2,35631,2021,281,65740,233.95,7,70.49,0.0249,11,1.169751,1.78,1.71,5700.98,Hired,11.53,5.87,0.3204,Medium,Mature
2,36570,2021,236,74174,314.3,6,64.82,0.0254,9,1.571483,1.53,2.99,4317.45,Hired,17.18,6.48,0.3592,Medium,Young
1,1008,2017,218,21997,100.9,4,66.19,0.0183,18,0.504518,0.99,2.33,4186.64,NRZ,5.25,3.48,0.1662,Medium,Mature
1,1011,2020,309,69600,225.24,8,58.65,0.0259,3,1.126214,0.64,2.29,6052.31,NRZ,11.5,14.66,0.0875,Low,New
1,1031,2022,263,38181,145.17,8,50.93,0.0304,11,0.725875,1.51,2.44,5711.64,NRZ,6.68,4.24,0.2427,Low,Mature
2,34691,2018,204,25454,124.77,9,56.36,0.0441,21,0.623873,1.92,2.34,4580.54,Hired,5.56,2.56,0.5778,Low,Old
1,1028,2018,296,63470,214.43,2,67.41,0.0068,2,1.072128,1.17,3.4,6847.28,NRZ,9.27,22.47,0.0146,Medium,New
1,1025,2022,113,13233,117.11,8,42.59,0.0708,31,0.585531,1.49,2.78,2438.86,NRZ,5.43,1.33,1.2851,Low,Old
1,1005,2022,156,31885,227.04,13,37.58,0.0718,25,1.135193,0.85,3.05,3546.17,NRZ,8.99,1.45,2.0377,Critical,Old
1,2109,2022,98,11873,121.15,5,53.91,0.051,32,0.605765,1.21,3.06,2065.78,NRZ,5.75,1.63,0.9886,Low,Old
1,1030,2020,316,90243,285.58,6,58.53,0.019,1,1.427896,1.47,1.56,7581.32,NRZ,11.9,29.26,0.0271,Low,New
2,35962,2018,246,53837,218.85,7,52.47,0.0285,13,1.094248,0.69,2.75,5292.0,Hired,10.17,3.75,0.4054,Low,Mature
1,2102,2018,166,16516,99.49,9,50.24,0.0542,26,0.49747,1.33,2.67,3547.34,NRZ,4.66,1.86,0.701,Low,Old
2,36960,2018,205,52562,256.4,11,54.92,0.0537,15,1.282,1.95,2.7,4122.52,Hired,12.75,3.43,1.0327,Low,Mature
1,2108,2023,78,13630,184.08,7,39.8,0.0686,31,0.920392,1.06,2.94,1767.56,NRZ,7.71,1.24,1.9573,Critical,Old
2,35098,2018,199,33398,167.83,7,60.84,0.0352,17,0.839146,0.57,2.29,4297.59,Hired,7.77,3.38,0.5021,Medium,Mature
1,1015,2021,273,31390,114.98,3,58.65,0.011,1,0.574908,1.62,1.85,5536.78,NRZ,5.67,29.32,0.0063,Low,New
1,1017,2023,209,27772,132.88,8,45.93,0.0383,15,0.664402,1.67,1.65,4556.06,NRZ,6.1,2.87,0.3817,Low,Mature
1,1006,2019,333,72946,219.06,7,59.48,0.021,1,1.095285,1.89,2.63,7263.33,NRZ,10.04,29.74,0.023,Low,New
1,1005,2022,252,68707,272.65,4,65.88,0.0159,6,1.363234,1.08,2.66,5978.8,NRZ,11.49,9.41,0.1301,Medium,Young
2,34561,2019,124,22692,183.0,7,45.17,0.0565,28,0.915,1.06,2.07,2536.12,Hired,8.95,1.56,1.4475,Low,Old
2,36996,2017,311,48378,155.56,5,66.73,0.0161,2,0.777781,0.88,3.2,7397.59,Hired,6.54,22.24,0.025,Medium,New
2,36505,2023,253,70968,280.51,13,52.28,0.0514,13,1.40253,1.53,2.55,5534.67,Hired,12.82,3.73,0.9372,Low,Mature
2,36298,2022,106,12772,120.49,8,47.73,0.0755,32,0.602453,0.84,1.78,1957.08,Hired,6.53,1.45,1.4555,Low,Old
1,2104,2017,257,55482,215.88,5,55.24,0.0195,6,1.079416,1.75,3.04,5873.55,NRZ,9.45,7.89,0.1263,Low,Young
1,1030,2017,212,61423,289.73,9,55.05,0.0425,14,1.448656,1.68,1.97,4120.22,NRZ,14.91,3.67,0.862,Low,Mature
2,35010,2022,280,81854,292.34,7,58.14,0.025,11,1.461679,1.29,3.43,6412.38,Hired,12.76,4.84,0.402,Low,Mature
2,36056,2019,285,73278,257.12,5,65.49,0.0175,3,1.285579,0.54,1.61,5988.43,Hired,12.24,16.37,0.0675,Medium,New
1,1026,2018,184,25296,137.48,8,47.21,0.0435,17,0.687391,0.72,1.58,4324.81,NRZ,5.85,2.62,0.5083,Low,Mature
2,37067,2019,299,45500,152.17,3,66.62,0.01,5,0.76087,1.75,2.6,6686.66,Hired,6.8,11.1,0.038,Medium,New
1,2105,2022,101,28688,232.73,9,32.41,0.0629,30,1.163671,1.08,2.25,2270.87,NRZ,12.63,1.05,2.1958,Critical,Old
2,34492,2022,167,41776,250.16,11,42.15,0.0659,25,1.250778,0.57,2.59,3821.14,Hired,10.93,1.62,2.0607,Low,Old
1,1031,2024,198,27312,137.94,9,40.74,0.0455,14,0.689697,0.8,3.08,4616.32,NRZ,5.92,2.72,0.4393,Low,Mature
2,35486,2023,270,44800,165.93,4,65.64,0.0148,7,0.82963,1.67,3.23,5397.72,Hired,8.3,8.2,0.0859,Medium,Young
1,1025,2023,269,59789,222.26,5,56.24,0.0186,5,1.11132,1.54,2.23,6128.83,NRZ,9.76,9.37,0.1034,Low,New
2,34554,2023,115,29991,260.79,6,44.55,0.0522,31,1.303957,0.99,2.09,2377.68,Hired,12.61,1.39,2.1101,Low,Old
1,1006,2023,174,37580,215.98,4,62.97,0.023,22,1.079885,1.52,2.38,3263.78,NRZ,11.51,2.74,0.5464,Medium,Old
1,1025,2022,215,19719,91.72,7,48.42,0.0326,20,0.458581,1.17,1.65,4047.63,NRZ,4.87,2.31,0.299,Low,Mature
2,35846,2022,217,51366,236.71,5,64.35,0.023,12,1.183548,1.87,1.74,4915.0,Hired,10.45,4.95,0.3267,Medium,Mature
1,1022,2022,210,50622,241.06,9,56.24,0.0429,10,1.205286,1.89,2.78,4780.06,NRZ,10.59,5.11,0.5171,Low,Young
1,1006,2021,226,55659,246.28,13,45.97,0.0575,19,1.231394,0.61,3.44,4939.01,NRZ,11.27,2.3,1.3453,Low,Mature
2,36124,2022,154,41637,270.37,6,63.33,0.039,28,1.351851,1.15,3.32,2823.2,Hired,14.75,2.18,1.4762,Medium,Old
1,2105,2019,164,29242,178.3,6,61.82,0.0366,20,0.891524,1.84,3.19,3198.6,NRZ,9.14,2.94,0.6526,Medium,Mature
1,2103,2021,280,61753,220.55,10,45.45,0.0357,11,1.102732,0.61,1.62,5778.54,NRZ,10.69,3.79,0.433,Low,Mature
2,36118,2020,193,34105,176.71,10,57.22,0.0518,20,0.883549,1.96,1.76,3903.09,Hired,8.74,2.72,0.9154,Low,Mature
1,1022,2022,162,32534,200.83,8,42.17,0.0494,26,1.004136,0.53,3.39,3407.29,NRZ,9.55,1.56,1.2897,Low,Old
1,1015,2022,99,22711,229.4,7,44.91,0.0707,31,1.14702,1.31,3.19,2037.97,NRZ,11.14,1.4,2.5139,Low,Old
2,35714,2023,145,16378,112.95,5,54.77,0.0345,22,0.564759,1.08,2.4,3088.38,Hired,5.3,2.38,0.4287,Low,Old
1,1027,2021,216,58124,269.09,10,44.5,0.0463,13,1.345463,1.72,2.24,4761.25,NRZ,12.21,3.18,0.8098,Low,Mature
2,36606,2021,311,89757,288.61,9,54.31,0.0289,6,1.443039,1.48,3.44,6677.43,Hired,13.44,7.76,0.2502,Low,Young
1,1005,2024,131,35509,271.06,7,52.93,0.0534,29,1.355305,0.86,2.65,2908.61,NRZ,12.21,1.76,2.0988,Low,Old
1,1003,2024,156,25110,160.96,7,51.23,0.0449,24,0.804808,1.21,3.2,3488.85,NRZ,7.2,2.05,0.8673,Low,Old
2,35514,2024,171,53409,312.33,7,55.97,0.0409,23,1.561667,1.31,3.29,3482.79,Hired,15.34,2.33,1.4691,Low,Old
2,34815,2021,114,25981,227.9,6,48.13,0.0526,30,1.139518,1.22,1.9,2420.39,Hired,10.73,1.55,1.7982,Low,Old
1,1020,2022,176,41420,235.34,9,46.2,0.0511,23,1.176705,1.58,3.37,4132.37,NRZ,10.02,1.92,1.383,Low,Old
1,1028,2019,349,100196,287.09,6,71.23,0.0172,1,1.435473,1.94,3.35,8117.9,NRZ,12.34,35.62,0.0247,Medium,New
1,1021,2018,355,66601,187.61,5,64.38,0.0141,1,0.938042,1.91,3.2,7386.88,NRZ,9.02,32.19,0.0132,Medium,New
1,1009,2022,154,38459,249.73,4,50.24,0.026,27,1.248669,0.94,2.85,2950.48,NRZ,13.03,1.79,0.8766,Low,Old
2,35309,2022,172,33386,194.1,7,49.23,0.0407,23,0.970523,1.5,2.43,3260.83,Hired,10.24,2.05,0.9085,Low,Old
1,2105,2024,212,25140,118.58,4,58.95,0.0189,18,0.592925,1.26,2.65,4006.61,NRZ,6.27,3.1,0.2017,Low,Mature
2,36347,2024,125,30286,242.29,11,41.41,0.088,31,1.21144,0.58,1.76,2561.57,Hired,11.82,1.29,3.3048,Low,Old
1,2106,2017,346,101691,293.9,5,58.1,0.0145,1,1.469523,0.7,2.78,7742.01,NRZ,13.13,29.05,0.0213,Low,New
2,35749,2023,217,58016,267.35,12,49.74,0.0553,19,1.336774,1.31,2.81,4358.8,Hired,13.31,2.49,1.4045,Low,Mature
1,2106,2023,177,59357,335.35,11,54.07,0.0621,17,1.676751,1.19,2.94,3636.42,NRZ,16.32,3.0,1.7701,Low,Mature
2,35156,2020,199,36272,182.27,9,46.26,0.0452,16,0.911357,1.71,2.34,4496.67,Hired,8.07,2.72,0.6591,Low,Mature
1,1017,2020,91,10666,110.89,6,39.97,0.0513,28,0.554444,0.85,1.93,2109.6,NRZ,5.06,1.38,0.7964,Critical,Old
1,1010,2021,179,40894,228.46,10,46.45,0.0559,24,1.142291,0.98,2.1,3375.86,NRZ,12.11,1.86,1.5325,Low,Old
2,36851,2023,262,60386,230.48,5,59.68,0.0191,8,1.152405,1.31,1.98,5070.24,Hired,11.91,6.63,0.1761,Low,Young
2,35735,2018,261,32704,125.3,8,60.56,0.0307,11,0.626513,1.81,1.88,5890.82,Hired,5.55,5.05,0.2116,Medium,Mature
2,35209,2020,227,53028,233.6,8,55.67,0.0352,18,1.168018,1.04,2.02,4784.46,Hired,11.08,2.93,0.7401,Low,Mature
2,36124,2018,341,75104,220.25,9,57.91,0.0264,3,1.101232,1.12,2.63,6590.73,Hired,11.4,14.48,0.0872,Low,New
1,1003,2021,257,53639,208.71,6,52.6,0.0233,14,1.04356,1.07,3.17,5395.92,NRZ,9.94,3.51,0.3404,Low,Mature
2,34969,2017,202,64095,317.3,8,63.79,0.0396,11,1.58651,1.12,3.19,3916.5,Hired,16.37,5.32,0.6911,Medium,Mature
1,1008,2019,154,35601,231.18,5,51.94,0.0325,22,1.155877,1.06,2.31,3294.06,NRZ,10.81,2.26,0.8265,Low,Old
1,2108,2024,125,16803,134.42,8,47.27,0.064,26,0.67212,0.55,3.36,2485.86,NRZ,6.76,1.75,1.1184,Low,Old
1,2109,2019,310,95945,309.5,6,61.78,0.0194,5,1.5475,1.35,3.2,6839.29,NRZ,14.03,10.3,0.1501,Medium,New
1,1023,2023,238,60107,252.55,7,51.06,0.0294,9,1.262752,1.33,2.25,4549.23,NRZ,13.21,5.11,0.3341,Low,Young
2,35693,2018,122,18616,152.59,4,51.65,0.0328,26,0.762951,0.78,2.4,2602.07,Hired,7.15,1.91,0.6506,Low,Old
2,34639,2017,147,18119,123.26,5,55.2,0.034,25,0.616293,0.94,2.28,2720.7,Hired,6.66,2.12,0.5238,Low,Old
1,1025,2021,276,64432,233.45,3,60.64,0.0109,1,1.167246,0.96,3.4,5518.15,NRZ,11.68,30.32,0.0127,Medium,New
2,35409,2024,293,41349,141.12,7,61.86,0.0239,4,0.705614,0.67,2.63,6315.14,Hired,6.55,12.37,0.0675,Medium,New
1,1018,2020,242,55050,227.48,6,53.48,0.0248,14,1.137397,1.19,2.86,5358.51,NRZ,10.27,3.57,0.3949,Low,Mature
1,1024,2017,202,43839,217.02,4,69.81,0.0198,12,1.085124,0.71,2.12,4187.86,NRZ,10.47,5.37,0.2578,Medium,Mature
1,2105,2024,166,33598,202.4,6,47.51,0.0361,23,1.011988,1.72,1.73,3833.78,NRZ,8.76,1.98,0.8403,Low,Old
1,1013,2023,150,29376,195.84,7,48.28,0.0467,21,0.9792,1.56,1.91,3377.09,NRZ,8.7,2.19,0.9603,Low,Old
1,2108,2018,329,42055,127.83,5,58.75,0.0152,3,0.639134,1.79,2.56,7183.6,NRZ,5.85,14.69,0.0291,Low,New
2,36819,2019,208,28708,138.02,8,60.39,0.0385,12,0.690096,1.8,3.4,4348.79,Hired,6.6,4.65,0.3188,Medium,Mature
1,1026,2024,191,39732,208.02,8,40.15,0.0419,21,1.040105,0.55,3.02,3772.74,NRZ,10.53,1.82,0.9152,Low,Old
2,35136,2021,163,38527,236.36,9,49.22,0.0552,26,1.18181,1.36,2.04,3465.16,Hired,11.12,1.82,1.6961,Low,Old
2,36436,2017,314,78584,250.27,3,79.1,0.0096,3,1.251338,1.63,2.1,7534.71,Hired,10.43,19.77,0.036,Medium,New
2,35292,2022,310,69726,224.92,9,54.24,0.029,5,1.124613,1.72,2.68,6232.17,Hired,11.19,9.04,0.1631,Low,New
2,36902,2019,301,48946,162.61,9,63.73,0.0299,7,0.813056,1.51,2.48,6460.83,Hired,7.58,7.97,0.1702,Medium,Young
2,36787,2023,176,45971,261.2,5,59.81,0.0284,21,1.305994,0.92,3.37,3557.74,Hired,12.92,2.72,0.7789,Low,Old
2,35556,2017,333,89683,269.32,5,72.78,0.015,1,1.346592,1.04,1.63,7061.78,Hired,12.7,36.39,0.0202,Medium,New
1,1029,2020,199,49437,248.43,8,52.82,0.0402,15,1.242136,1.23,2.19,4396.97,NRZ,11.24,3.3,0.749,Low,Mature
1,1004,2018,286,46638,163.07,9,51.83,0.0315,8,0.81535,0.5,3.42,5495.18,NRZ,8.49,5.76,0.2055,Low,Young
1,1026,2019,298,38781,130.14,3,67.5,0.0101,9,0.650688,1.16,2.94,6487.01,NRZ,5.98,6.75,0.0591,Medium,Young
1,1028,2024,240,57383,239.1,4,68.1,0.0167,7,1.195479,1.03,2.36,5459.15,NRZ,10.51,8.51,0.1398,Medium,Young
1,1019,2018,183,41992,229.46,11,46.31,0.0601,21,1.147322,1.77,2.82,3625.21,NRZ,11.58,2.1,1.448,Low,Old
1,2105,2017,243,35147,144.64,9,46.31,0.037,16,0.723189,1.52,3.03,5765.59,NRZ,6.1,2.72,0.4281,Low,Mature
1,1003,2018,125,11122,88.98,7,47.13,0.056,28,0.44488,1.44,2.5,2561.57,NRZ,4.34,1.63,0.6976,Low,Old
2,36618,2018,205,57417,280.08,5,52.22,0.0244,19,1.400415,1.15,2.41,4438.86,Hired,12.94,2.61,0.6492,Low,Mature
2,36944,2019,123,12611,102.53,5,53.93,0.0407,26,0.512642,1.28,3.15,2405.32,Hired,5.24,2.0,0.5425,Low,Old
2,34735,2021,296,61098,206.41,10,51.44,0.0338,8,1.032061,0.6,2.92,6352.13,Hired,9.62,5.72,0.2791,Low,Young
1,2103,2024,188,38590,205.27,6,49.1,0.0319,18,1.02633,0.65,2.65,4199.29,NRZ,9.19,2.58,0.5893,Low,Mature
1,2104,2017,167,14003,83.85,6,58.4,0.0359,26,0.419251,0.77,3.42,3041.43,NRZ,4.6,2.16,0.3913,Low,Old
1,2105,2017,293,92505,315.72,7,56.71,0.0239,1,1.578584,0.63,2.41,5922.56,NRZ,15.62,28.36,0.0377,Low,New
2,36525,2021,271,54160,199.85,7,67.45,0.0258,8,0.999262,0.79,3.3,6114.54,Hired,8.86,7.49,0.2062,Medium,Young
1,1011,2017,294,40452,137.59,5,72.04,0.017,1,0.687959,1.93,1.5,6451.48,NRZ,6.27,36.02,0.0117,Medium,New
1,1017,2021,140,37764,272.99,13,34.03,0.0691,23,1.364973,1.92,1.77,3166.92,NRZ,11.92,1.42,2.1694,Critical,Old
1,1011,2018,164,22649,138.1,6,56.91,0.0366,23,0.690518,1.18,2.43,3790.84,NRZ,5.97,2.37,0.5813,Low,Old
1,1012,2021,299,58456,195.51,9,47.47,0.0301,5,0.977525,1.57,3.44,6092.86,NRZ,9.59,7.91,0.1471,Low,New
1,1021,2021,327,33404,102.15,5,67.46,0.0153,5,0.510765,0.87,2.42,7463.25,NRZ,4.48,11.24,0.0391,Medium,New
1,1009,2017,137,33102,252.71,12,35.44,0.0723,26,1.263554,1.37,2.02,3134.08,NRZ,10.56,1.31,2.3752,Critical,Old
1,1006,2020,313,68585,219.12,7,66.18,0.0224,2,1.095607,0.68,3.38,5729.1,NRZ,11.97,22.06,0.0491,Medium,New
2,36661,2020,141,29688,210.55,12,41.59,0.0851,30,1.052766,1.65,3.5,3361.99,Hired,8.83,1.34,2.6877,Low,Old
1,1017,2020,175,49478,282.73,12,48.96,0.0686,22,1.413657,1.36,3.47,3557.84,NRZ,13.91,2.13,2.1335,Low,Old
1,1013,2020,220,51399,233.63,8,57.07,0.0364,12,1.168159,1.03,2.64,4147.58,NRZ,12.39,4.39,0.5103,Low,Mature
1,2103,2021,148,15603,105.43,4,54.53,0.027,26,0.527128,0.5,3.34,2842.9,NRZ,5.49,2.02,0.37,Low,Old
1,1023,2019,336,75745,225.43,3,72.59,0.0089,1,1.127158,0.71,1.72,7109.01,NRZ,10.65,36.3,0.01,Medium,New
2,34513,2022,286,43052,150.53,6,55.73,0.021,10,0.752657,0.74,3.4,6506.8,Hired,6.62,5.07,0.1581,Low,Young
2,36875,2022,153,37560,245.49,10,43.64,0.0654,27,1.227451,1.5,3.13,3101.36,Hired,12.11,1.56,2.1674,Low,Old
1,1028,2024,261,45897,175.85,5,69.28,0.0192,6,0.879253,1.48,2.87,4952.72,NRZ,9.27,9.9,0.1013,Medium,Young
1,1004,2021,110,26497,240.88,4,49.01,0.0364,31,1.204409,1.6,2.59,2572.76,NRZ,10.3,1.53,1.3591,Low,Old
1,1023,2024,196,48966,249.83,9,44.14,0.0459,12,1.249133,0.65,1.91,3751.42,NRZ,13.05,3.4,0.688,Low,Mature
2,36927,2024,117,17457,149.21,9,47.47,0.0769,28,0.746026,0.67,3.07,2436.6,Hired,7.16,1.64,1.6063,Low,Old
2,36527,2017,182,35453,194.8,7,55.33,0.0385,23,0.973984,1.96,2.68,3880.53,Hired,9.14,2.31,0.8625,Low,Old
2,36356,2023,295,79834,270.62,8,62.03,0.0271,3,1.353119,0.62,3.31,6574.32,Hired,12.14,15.51,0.11,Medium,New
2,35347,2024,316,85312,269.97,8,59.89,0.0253,5,1.349873,1.12,1.8,6802.72,Hired,12.54,9.98,0.1708,Low,New
1,1008,2018,269,52237,194.19,4,63.16,0.0149,3,0.970948,1.23,2.72,4902.47,NRZ,10.66,15.79,0.0434,Medium,New
2,35866,2019,257,50035,194.69,10,51.63,0.0389,10,0.973444,0.86,2.99,6045.93,Hired,8.28,4.69,0.3787,Low,Young
2,34298,2022,301,55514,184.43,9,62.7,0.0299,6,0.922159,1.96,1.96,5960.67,Hired,9.31,8.96,0.1654,Medium,Young
2,34446,2019,133,22877,172.01,9,56.09,0.0677,27,0.860038,0.54,1.89,3058.68,Hired,7.48,2.0,1.5721,Low,Old
1,1017,2017,193,29213,151.36,5,57.78,0.0259,13,0.756813,1.1,3.35,4262.8,NRZ,6.85,4.13,0.2548,Low,Mature
1,1025,2024,213,61585,289.13,9,46.38,0.0423,15,1.445657,1.76,2.02,4895.85,NRZ,12.58,2.9,0.9173,Low,Mature
1,1020,2017,182,54795,301.07,5,51.93,0.0275,15,1.505357,0.84,1.91,3987.53,NRZ,13.74,3.25,0.621,Low,Mature
1,2103,2021,191,37827,198.05,10,53.4,0.0524,23,0.990236,1.72,2.19,4255.52,NRZ,8.89,2.22,1.1934,Low,Old
2,36614,2021,230,51187,222.55,10,60.39,0.0435,17,1.112761,0.61,3.28,4830.66,Hired,10.6,3.36,0.8229,Medium,Mature
2,34954,2018,216,59429,275.13,4,64.54,0.0185,13,1.375671,0.81,3.05,4634.86,Hired,12.82,4.61,0.3308,Medium,Mature
1,2103,2018,123,22248,217.93,12,36.67,0.0719,24,1.089671,1.06,1.53,2451.79,NRZ,9.07,1.47,1.8803,Critical,Old
1,1004,2021,281,71664,255.03,4,74.26,0.0142,1,1.27516,1.99,2.19,6577.73,NRZ,10.89,37.13,0.0181,Medium,New
